date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,524899,Bikaji Mobile Chowpati Bhelpuri,828883,37,49,1,10,0,https://cdn.grofers.com/da/cms-assets/cms/product/8b982042-e389-466a-b5b0-99cf0ceb074f.png,,Bikaji
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,439926,Garden Lemon Bhelpuri,828846,52,55,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/cdf8dc8b-8410-4116-b36d-7f9e7f05f47d.png,,Garden
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,601875,Mukharochak Instant Bhelpuri,2144962,70,70,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/c962cfa2-be44-4f35-9875-3f9a959a631e.png,,Mukharochak
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,29859,669259,Kaligodam Marwari Bhujia,2097320,165,210,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/022c2c2e-b890-4a8e-b3d2-349bfa421aef.png,,Kaligodam
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,23765,Bikano Bikaneri Bhujia,1915645,270,320,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/fe00a78b-9c0d-4a18-a14e-6e966a7c70ee.png,,Bikano
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,513006,Let's Try Onion Bhujia,700099,108,120,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/2f86a8a0-f449-4214-976b-fef80ade62e3.png,,Let's Try
2025-07-24,Munchies,1237,Munchies Gift Packs,1694,41365,480400,4700BC Himalayan Salt Caramel Popcorn,598505,225,225,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/cdaeeb46-63cd-44d5-a6d5-0a14687bb366.png,,4700BC
2025-07-24,Munchies,1237,Munchies Gift Packs,1694,41365,496308,"Open Secret Cookies, Brownie & Dry Fruits Gift Pack",1490480,329,350,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/e468ef7b-6194-448b-a3f8-dbbab26f86d8.png,,Open Secret
2025-07-24,Munchies,1237,Munchies Gift Packs,1694,29859,570852,GO DESI Fun Diwali Gift Pack,1210454,633,699,1,6,0,https://cdn.grofers.com/da/cms-assets/cms/product/b47b46f3-5488-4f6c-8a86-e91b4dd927d8.png,,GO DESI
2025-07-24,Munchies,1237,Munchies Gift Packs,1694,41365,534300,Desi Ghee Dryfruit Besan Laddu by Unibic Swaadesi,774246,134,230,1,1,0,https://cdn.grofers.com/da/cms-assets/cms/product/575b8952-08bd-46a5-8495-ef880cc6aacb.png,,Unibic Swaadesi
